MeterType,MeterNo,the_geom,POINT_X,POINT_Y,Status
Strada,4512685,POINT (-73.81894696705598 40.72055889460873),1034437.01772,201847.431001,Active
Strada,4513001,POINT (-73.82443475841336 40.74644010193218),1032896.93222,211273.651321,Active
Strada,4513002,POINT (-73.82436490052716 40.74716696488202),1032915.75797,211538.509059,Active
Strada,4513003,POINT (-73.82432252757368 40.74760531533778),1032927.17855,211698.237414,Active
Strada,4513004,POINT (-73.8154191092109 40.73386297897171),1035404.70772,206696.552208,Active
Strada,4513005,POINT (-73.81651643390576 40.7339408518263),1035100.53641,206724.284764,Active
Strada,4513006,POINT (-73.81734513638331 40.734024275049116),1034870.80721,206754.198418,Active
Strada,4513007,POINT (-73.81804382766862 40.73409370464535),1034677.12026,206779.090757,Active
Strada,4513008,POINT (-73.81909765529649 40.7341997142381),1034384.98436,206817.108397,Active
Strada,4513009,POINT (-73.82036228751316 40.73433540614009),1034034.40534,206865.823851,Active
Strada,4513010,POINT (-73.82112833344631 40.73442372740461),1033822.03962,206897.567554,Active
Strada,4513011,POINT (-73.82163758743177 40.73447912601027),1033680.86537,206917.463183,Active
Strada,4493105,POINT (-73.86385686628778 40.72724810518863),1021984.43666,204261.975056,Active
Strada,4493139,POINT (-73.87977906867071 40.72466150529876),1017572.61773,203313.139683,Active
Strada,4523001,POINT (-73.87876927713751 40.712729689603904),1017858.52595,198966.403626,Active
Strada,4523002,POINT (-73.8780550024808 40.71279566219357),1018056.50915,198990.714273,Active
Strada,4523003,POINT (-73.8777156958283 40.71268015476818),1018150.63297,198948.762585,Active
Strada,4523008,POINT (-73.87523658847658 40.713081030975694),1018837.70247,199095.782961,Active
Strada,4243106,POINT (-73.76068354388498 40.72039945892892),1050587.47788,201828.095737,Active
Strada,4283151,POINT (-73.78804666274043 40.76383958171709),1042964.26182,217635.130724,Active
Strada,4283152,POINT (-73.78776724330432 40.763766930421305),1043041.72919,217608.848953,Active
Strada,4283153,POINT (-73.78737147132819 40.763664247082545),1043151.45469,217571.704014,Active
Strada,4283154,POINT (-73.78651023376392 40.76326107511898),1043390.3886,217425.395908,Active
Strada,4213001,POINT (-73.7695237816312 40.759511106777346),1048099.51632,216071.088577,Active
Strada,4181657,POINT (-73.91685294327095 40.773397724559835),1007279.69868,221057.375848,Active
Strada,3013577,POINT (-73.99211863391115 40.69005506230419),986435.677703,190682.203003,Inactive
Strada,3013596,POINT (-73.98415386423098 40.68785613672215),988644.629978,189881.369303,Retired
Strada,3013687,POINT (-73.98959348461725 40.7020808347569),987135.437131,195063.620421,Active
Strada,3013686,POINT (-73.98965960664708 40.70286252998898),987117.069713,195348.413159,Active
Strada,3071406,POINT (-73.99720621664898 40.5937862596652),985025.89673,155608.768557,Inactive
Strada,3071407,POINT (-73.9966889471192 40.5933746457548),985169.559829,155458.812164,Inactive
Strada,3071408,POINT (-73.99634764662206 40.593087289374346),985264.351634,155354.124709,Inactive
Strada,3071409,POINT (-73.9961057379557 40.59288189737549),985331.539164,155279.298087,Inactive
Strada,3051340,POINT (-73.95813880490515 40.61037216980499),995872.911125,161654.206597,Active
Strada,3149862,POINT (-73.98934941187055 40.665393478217084),987204.736861,181697.360737,Active
Strada,3243001,POINT (-73.96826118371018 40.67903099316955),993053.333103,186667.311098,Active
Strada,3243002,POINT (-73.9676761963878 40.680643221199),993215.373133,187254.751525,Inactive
Strada,3243003,POINT (-73.96838035789554 40.67929001845191),993020.243931,186761.669506,Active
Strada,3243004,POINT (-73.96795907531143 40.67985896130323),993137.017975,186968.994222,Active
